TEAM_NAME,FG3A,SEASON
Portland Trail Blazers,40.8,2020-21
Sacramento Kings,33.3,2020-21
San Antonio Spurs,28.4,2020-21
Toronto Raptors,39.3,2020-21
Utah Jazz,43.0,2020-21
Washington Wizards,29.0,2020-21
Atlanta Hawks,34.4,2021-22
Boston Celtics,37.1,2021-22
Brooklyn Nets,31.7,2021-22
Charlotte Hornets,38.2,2021-22
Chicago Bulls,28.8,2021-22
Cleveland Cavaliers,32.8,2021-22
Dallas Mavericks,37.4,2021-22
Denver Nuggets,35.9,2021-22
Detroit Pistons,34.6,2021-22
Golden State Warriors,39.4,2021-22
Houston Rockets,38.7,2021-22
Indiana Pacers,35.4,2021-22
LA Clippers,34.2,2021-22
Los Angeles Lakers,34.5,2021-22
Memphis Grizzlies,32.7,2021-22
Miami Heat,35.8,2021-22
Milwaukee Bucks,38.4,2021-22
Minnesota Timberwolves,41.3,2021-22
New Orleans Pelicans,32.1,2021-22
New York Knicks,36.9,2021-22
Oklahoma City Thunder,37.4,2021-22
Orlando Magic,36.9,2021-22
Philadelphia 76ers,31.8,2021-22
Phoenix Suns,31.9,2021-22
Portland Trail Blazers,36.8,2021-22
Sacramento Kings,33.2,2021-22
San Antonio Spurs,32.0,2021-22
Toronto Raptors,34.2,2021-22
Utah Jazz,40.3,2021-22
Washington Wizards,30.6,2021-22
Atlanta Hawks,30.5,2022-23
Boston Celtics,42.6,2022-23
Brooklyn Nets,33.8,2022-23
Charlotte Hornets,32.5,2022-23
Chicago Bulls,28.9,2022-23
Cleveland Cavaliers,31.6,2022-23
Dallas Mavericks,41.0,2022-23
Denver Nuggets,31.2,2022-23
Detroit Pistons,32.4,2022-23
Golden State Warriors,43.2,2022-23
Houston Rockets,31.9,2022-23
Indiana Pacers,37.0,2022-23
LA Clippers,33.3,2022-23
Los Angeles Lakers,31.2,2022-23
Memphis Grizzlies,34.2,2022-23
Miami Heat,34.8,2022-23
Milwaukee Bucks,40.3,2022-23
Minnesota Timberwolves,33.3,2022-23
New Orleans Pelicans,30.1,2022-23
New York Knicks,35.7,2022-23
Oklahoma City Thunder,34.1,2022-23
Orlando Magic,31.1,2022-23
Philadelphia 76ers,32.6,2022-23
Phoenix Suns,32.6,2022-23
Portland Trail Blazers,35.3,2022-23
Sacramento Kings,37.3,2022-23
San Antonio Spurs,32.2,2022-23
Toronto Raptors,32.0,2022-23
Utah Jazz,37.8,2022-23
Washington Wizards,31.7,2022-23
Atlanta Hawks,37.7,2023-24
Boston Celtics,42.5,2023-24
Brooklyn Nets,36.7,2023-24
Charlotte Hornets,34.0,2023-24
Chicago Bulls,32.1,2023-24
Cleveland Cavaliers,36.8,2023-24
Dallas Mavericks,39.5,2023-24
Denver Nuggets,31.2,2023-24
Detroit Pistons,31.7,2023-24
Golden State Warriors,38.9,2023-24
Houston Rockets,36.1,2023-24
Indiana Pacers,35.3,2023-24
LA Clippers,33.2,2023-24
Los Angeles Lakers,31.4,2023-24
Memphis Grizzlies,37.8,2023-24
Miami Heat,33.7,2023-24
Milwaukee Bucks,38.1,2023-24
Minnesota Timberwolves,32.7,2023-24
New Orleans Pelicans,32.6,2023-24
New York Knicks,35.8,2023-24
Oklahoma City Thunder,34.2,2023-24
Orlando Magic,31.3,2023-24
Philadelphia 76ers,33.3,2023-24
Phoenix Suns,32.6,2023-24
Portland Trail Blazers,33.2,2023-24
Sacramento Kings,39.3,2023-24
San Antonio Spurs,36.4,2023-24
Toronto Raptors,33.1,2023-24
Utah Jazz,36.5,2023-24
Washington Wizards,35.5,2023-24
